Project Name,Stars,Forks,Commits,isFork,Branch,Contributors,Size,Comment Lines,LOC,Blank Lines,Java,,,Incalculable due to TIME LIMIT,Tutorial repository,Noting Refactoring
openclinica/openclinica,385,263,5751,FALSE,master,22,84193,46397,174607,37560,17879694,,,,,
spotbugs/sonar-findbugs,349,134,1168,FALSE,master,38,4579,1741,5119,1322,305468,,,,,
teamamaze/amazefilemanager,5244,1562,6537,FALSE,release/4.0,142,61071,9511,37188,6230,1920807,,,,,
douglascraigschmidt/livelessons,589,665,1614,FALSE,master,9,39886,103493,113591,33595,119175627,,,,,
openhft/chronicle-map,2752,468,3446,FALSE,ea,50,55920,14249,55434,11582,2979670,,,,,
processing/processing-android,774,293,2788,FALSE,main,35,107709,26785,65011,19511,3359215,,,,,
altbeacon/android-beacon-library,2820,835,1296,FALSE,master,58,8360,4268,12687,2031,770089,,,,,
iluwatar/java-design-patterns,89186,26389,4105,FALSE,master,404,34804,57565,43765,11489,4251575,,,,,
nlpchina/elasticsearch-sql,6982,1534,1047,FALSE,master,31,8953,3740,35918,6927,1864528,,,,,
davidmoten/rtree,1086,210,1273,FALSE,master,10,1856,1174,8389,1878,393228,,,,,
btraceio/btrace,5793,955,1526,FALSE,develop,24,17611,19231,47539,7005,2590196,,,,,
spongepowered/spongeapi,1139,343,4068,FALSE,api-11,114,19518,86218,38697,19739,6167985,,,,,
lcm-proj/lcm,958,388,1457,FALSE,master,53,9361,33157,31724,7121,2353152,,,,,
neo4j/neo4j-ogm,327,163,1870,FALSE,master,37,19832,30073,57169,16315,3533176,,,,,
yegor256/takes,803,197,3207,FALSE,master,78,32261,20895,24698,3383,1594204,,,,,
prmr/jetuml,618,121,2651,FALSE,master,27,9229,13167,32452,4954,1683713,,,,,
googleapis/google-http-java-client,1386,448,1449,FALSE,main,98,11614,15734,26667,4857,1643152,,,,,
xbmc/kore,639,245,1087,FALSE,master,99,49143,11277,36217,6955,2156787,,,,,
mariadb-corporation/mariadb-connector-j,329,222,3433,FALSE,master,66,19180,16657,79974,10969,3684542,,,,,
joml-ci/joml,710,102,2120,FALSE,main,35,31147,97507,67138,9109,6894424,,,,,
vert-x3/vertx-examples,3523,2085,1436,FALSE,4.x,90,51587,2545,12175,2997,557677,,,,,
openhft/chronicle-core,544,128,3905,FALSE,ea,43,5651,16692,23382,5152,1663211,,,,,
elki-project/elki,777,321,10460,FALSE,master,16,57394,189950,208878,34457,13928207,,,,,
spring-cloud/spring-cloud-sleuth,1751,779,3475,FALSE,3.1.x,143,89870,21517,60744,16914,3265197,,,,,
apache/openmeetings,629,255,3719,FALSE,master,16,83919,27218,71622,12431,3900431,,,,,
apache/samza,805,332,2602,FALSE,master,133,34988,58922,132537,27729,9397373,,,,,
jplag/jplag,1316,307,3929,FALSE,main,44,61596,5650,23926,5440,1358527,,,,,
yacy/yacy_search_server,3371,424,14522,FALSE,master,68,826243,56019,158215,25233,10106328,,,,,
mysql/mysql-connector-j,868,569,3091,FALSE,release/8.x,14,36257,64399,205938,37843,13463303,,,,,
mzmine/mzmine2,129,133,5652,FALSE,master,32,470630,48625,118649,32858,6835980,,,,,
wro4j/wro4j,474,107,4045,FALSE,master,54,111332,13267,40241,8204,1925228,,,,,
react-native-video/react-native-video,6983,2825,2121,FALSE,master,255,28052,259,4068,687,179565,,,,,
blusunrize/immersiveengineering,776,388,4916,FALSE,1.20.4,100,94518,12526,126657,16772,5259114,,,,,
espertechinc/esper,821,256,1266,FALSE,master,10,47674,160620,584013,129737,40122901,,,,,
neo4j/neo4j-java-driver,325,155,2576,FALSE,5,45,14107,28317,81715,15882,4729294,,,,,
watson-developer-cloud/java-sdk,587,532,4179,FALSE,master,79,403682,83785,110988,23337,7716711,,,,,
minio/minio-java,1085,476,1321,FALSE,master,78,11621,11670,23627,4239,1231063,,,,,
limpoxe/android-plugin-framework,1783,497,1490,FALSE,master,1,339754,2998,95107,5550,750847,,,,,
vigna/fastutil,1742,195,1896,FALSE,master,20,24552,4618,19670,4142,1018983,,,,,
confluentinc/kafka-connect-hdfs,476,397,2665,FALSE,master,69,2457,2229,11761,2209,568865,,,,,
nukkit/nukkit,824,273,2508,FALSE,master,68,10735,8405,86648,20107,3457141,,,,,
refinitiv/real-time-sdk,180,128,2632,FALSE,master,37,776434,132697,565946,111599,32554374,,,,,
chatty/chatty,836,171,1348,FALSE,master,20,48029,26992,117619,19608,6289725,,,,,
javamelody/javamelody,2925,735,3751,FALSE,master,35,112938,17363,53848,7573,2827927,,,,,
sonatype/nexus-public,1897,560,1168,FALSE,main,8,158526,84957,226392,54602,13149935,,,,,
arianne/stendhal,586,200,39161,FALSE,master,23,1120920,120231,243298,53926,13904910,,,,,
linkedin/brooklin,892,134,1447,FALSE,master,35,5887,12307,39470,9132,2578713,,,,,
w3c/css-validator,205,105,4000,FALSE,main,22,67778,60438,144633,26592,6995681,,,,,
scalecube/scalecube-services,606,106,4702,FALSE,master,21,6738,2035,14914,3053,666958,,,,,
teamnewpipe/newpipe,30932,3013,11247,FALSE,dev,308,76210,8449,49490,10572,2623090,,,,,
apache/freemarker,955,262,2510,FALSE,2.3-gae,38,23957,37719,95987,18327,5886175,,,,,
games647/fastlogin,488,118,1109,FALSE,main,29,8473,3603,6583,1576,468736,,,,,
team-rtg/realistic-terrain-generation,244,119,3402,FALSE,1.12.2-dev,17,27737,3318,64564,17875,3043501,,,,,
everit-org/json-schema,848,283,1078,FALSE,master,38,2555,2039,15316,3446,711661,,,,,
treasure-data/digdag,1301,221,4397,FALSE,master,99,84997,4322,92270,14571,4121614,,,,,
jpmml/jpmml-sklearn,528,117,1783,FALSE,master,1,215923,8062,24514,8493,1195202,,,,,
beanshell/beanshell,831,181,1064,FALSE,master,20,16099,14615,29592,5433,1978824,,,,,
uber/okbuck,1536,165,1111,FALSE,master,41,17744,874,10800,2156,474870,,,,,
zalando/nakadi,947,291,6019,FALSE,master,54,15424,1495,51637,9709,2622044,,,,,
widdix/aws-cf-templates,2742,1381,1036,FALSE,master,38,12918,74,3691,325,200478,,,,,
xuxueli/xxl-job,27201,10791,1742,FALSE,master,57,34297,2925,9104,2259,770675,,,,,
refinedmods/refinedstorage,355,177,4128,FALSE,develop,67,32333,2553,42392,10229,2018226,,,,,
alexmofer/projectx,457,152,1004,FALSE,master,1,60761,8186,17993,2881,948979,,,,,
bootique/bootique,1414,284,1556,FALSE,master,16,3069,11628,27487,8399,1592580,,,,,
roncoo/roncoo-education,1240,538,1699,FALSE,master,11,62382,9574,50719,14020,2280374,,,,,
fabric8io/fabric8-maven-plugin,334,201,2418,FALSE,master,69,38503,8759,33518,7127,1872183,,,,,
daniulive/smarterstreaming,10898,2757,1502,FALSE,master,1,6823331,2740,8937,2944,683689,,,,,
tls-attacker/tls-attacker,769,132,6737,FALSE,main,74,30333,21201,112326,20424,6145409,,,,,
tencent/tencentkona-8,930,147,49682,FALSE,master,140,533546,2464935,3871139,739949,270211787,,,,,
electroblob77/wizardry,190,101,1240,FALSE,1.12.2,25,20181,11319,52275,15475,3161393,,,,,
freeyourgadget/gadgetbridge,4192,655,10656,FALSE,master,303,47789,39383,209988,48976,12116222,,,,,
spoonlabs/astor,203,106,1800,FALSE,master,26,246102,1465962,2458714,486865,1491193,,,,,
apache/calcite-avatica,242,229,2822,FALSE,main,136,33020,14411,41374,8304,2289656,,,,,
apache/maven-dependency-plugin,155,173,1305,FALSE,master,67,2532,5975,12292,3325,802572,,,,,
objectbox/objectbox-java,4365,302,1827,FALSE,main,8,2740,11403,23548,5367,1466864,,,,,
jtablesaw/tablesaw,3499,634,2518,FALSE,master,83,66174,11312,56492,10999,2492361,,,,,
nextgenhealthcare/connect,868,265,9786,FALSE,development,17,662111,42860,251383,57180,14258611,,,,,
tencent/shadow,7303,1270,1641,FALSE,master,32,3630,7417,23331,5552,1176786,,,,,
drewnoakes/metadata-extractor,2542,479,1447,FALSE,main,54,12735,16149,39111,6453,2298356,,,,,
liaochong/myexcel,1647,326,1527,FALSE,master,14,4323,5255,11696,2100,645200,,,,,
apache/commons-math,570,354,7190,FALSE,master,50,28799,84541,148917,26128,10256376,,,,,
88250/symphony,2510,464,7071,FALSE,master,28,46785,17939,29068,7275,2042841,,,,,
88250/solo,1564,439,4600,FALSE,master,31,157242,10817,16168,3817,1124154,,,,,
jfree/jfreechart,1188,456,4226,FALSE,master,26,27390,124134,132945,26662,9560014,,,,,
openwms/org.openwms,484,164,5224,FALSE,master,3,103868,2080,1195,315,118622,,,,,
quelea-projection/quelea,150,145,4142,FALSE,master,96,1820526,17342,41307,5585,2366147,,,,,
gravitlauncher/launcher,131,105,2832,FALSE,master,36,9776,805,27939,4736,1248769,,,,,
linlinjava/litemall,19106,7168,1186,FALSE,master,61,24593,40871,60606,14958,3959073,,,,,
jctools/jctools,3497,554,1043,FALSE,master,40,7891,11159,40464,7004,2090856,,,,,
zq2599/blog_demos,4350,1813,1179,FALSE,master,2,247898,35149,68754,18633,4165305,,,,,
controlsfx/controlsfx,1545,267,3556,FALSE,master,120,27892,29289,42482,10351,3245110,,,,,
blankj/androidutilcode,32965,10637,1433,FALSE,master,39,47329,18093,39223,6934,2370153,,,,,
allure-framework/allure2,4079,703,1193,FALSE,main,79,14423,5033,13936,2976,779419,,,,,
authorjapps/zerocode,886,386,1673,FALSE,master,54,5043,1557,19573,5437,1001433,,,,,
