Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage,Total,Mean,Median,Variance,Standard Deviation,Min,Max,parcentage,Production[%] / Test[%],Test[%] / Production[%] ,(Production[%] + Test[%])/2
REPLACE_ATTRIBUTE_WITH_VARIABLE,15235,36.53477218,14,15787.61958,125.6487946,1,2324,0.002769617289,5021,20.57786885,5,3108.146175,55.75075044,1,659,0.004262913333,0.6497005857,1.539170538,0.003516265311
REMOVE_VARIABLE_ANNOTATION,2156,11,3.5,820.9230769,28.65175522,1,274,0.0003919458402,724,9.164556962,3,318.4982149,17.84651828,1,82,0.0006146881604,0.6376336254,1.568298722,0.0005033170003
MOVE_AND_RENAME_OPERATION,22271,51.79302326,23,10070.54214,100.3520909,1,1051,0.004048713269,7655,24.45686901,6,4666.928422,68.31492093,1,804,0.006499223574,0.6229533763,1.60525657,0.005273968421
CHANGE_CLASS_ACCESS_MODIFIER,21606,52.56934307,20,18812.55798,137.1588786,1,1863,0.003927820883,8403,31.95057034,5,15694.54335,125.2778646,1,1674,0.007134288138,0.5505554033,1.816347626,0.00553105451
ADD_CLASS_ANNOTATION,55769,138.0420792,43,84085.78731,289.9754943,1,2949,0.01013841724,21793,65.24850299,14,35043.56269,187.1992593,1,2069,0.01850262304,0.5479448625,1.825001142,0.01432052014
CHANGE_OPERATION_ACCESS_MODIFIER,138878,313.4943567,128,829445.3365,910.7388959,1,15435,0.02524705677,54465,157.4132948,19.5,528630.6084,727.0698786,1,12042,0.0462416998,0.5459802922,1.831567942,0.03574437828
CHANGE_THROWN_EXCEPTION_TYPE,26798,80.47447447,12,75877.29227,275.4583313,1,3511,0.004871690457,10863,43.97975709,8,17755.7191,133.2505876,1,1479,0.009222869456,0.5282185203,1.893155884,0.007047279957
CHANGE_VARIABLE_TYPE,360448,808.1793722,292.5,4806118.359,2192.286103,1,33232,0.06552694537,155702,390.2305764,74,2092491.062,1446.544525,1,22430,0.1321936132,0.4956891925,2.017393188,0.09886027928
ADD_VARIABLE_ANNOTATION,4898,19.99183673,4,8255.442556,90.85946597,1,1005,0.0008904224144,2138,18.75438596,3,4827.549759,69.48057109,1,707,0.00181519791,0.490537373,2.038580657,0.001352810162
MODIFY_CLASS_ANNOTATION,32627,103.5777778,15,97578.86256,312.3761556,1,4202,0.005931362212,15450,67.17391304,12,146836.9915,383.1931516,1,5717,0.0131173095,0.452178262,2.211517191,0.009524335856
REPLACE_ANONYMOUS_WITH_LAMBDA,29289,104.9784946,12,451492.6974,671.9320631,1,10475,0.005324536973,13870,89.48387097,6,495202.1864,703.7060369,1,8707,0.01177586296,0.452156839,2.211621972,0.008550199967
ADD_THROWN_EXCEPTION_TYPE,42135,100.5608592,27,77717.33779,278.7782951,1,3049,0.007659850639,20262,61.58662614,14,40249.20055,200.6220341,1,2971,0.01720277832,0.4452682291,2.245837306,0.01243131448
REMOVE_CLASS_ANNOTATION,29149,80.30027548,17,51139.37644,226.1401699,1,2836,0.005299085944,15238,54.03546099,11,20507.23005,143.2034569,1,1205,0.01293731794,0.4095969481,2.441424441,0.009118201942
REPLACE_VARIABLE_WITH_ATTRIBUTE,19512,46.12765957,18,17066.05475,130.6371109,1,2246,0.003547146213,12620,42.77966102,10,20908.76421,144.5986314,1,2017,0.01071459197,0.331057517,3.02062315,0.00713086909
REMOVE_THROWN_EXCEPTION_TYPE,57901,135.9178404,26,549576.5697,741.3343171,1,14124,0.01052600004,40494,124.5969231,19,268470.513,518.1414025,1,7545,0.03438008614,0.30616561,3.266206156,0.02245304309
SPLIT_OPERATION,918,4.392344498,2,194.4318642,13.94388268,1,188,0.0001668860303,698,5.094890511,2,79.83651782,8.935128305,1,64,0.0005926137237,0.2816101343,3.551008569,0.000379749877
MODIFY_METHOD_ANNOTATION,31826,107.8847458,16,83970.68055,289.7769497,1,2946,0.00578574597,24783,90.78021978,24,49906.2824,223.3971405,1,2183,0.02104118326,0.2749724623,3.636727808,0.01341346461
MOVE_CODE,9012,26.98203593,6,43369.78947,208.2541463,1,3714,0.001638319069,9758,36.14074074,8,9377.206884,96.83597929,1,1010,0.008284705896,0.1977522303,5.056832979,0.004961512482
PARAMETERIZE_TEST,3,3,3,,,3,3,0.000000545379184,45,5.625,4.5,22.26785714,4.71888304,1,15,0.00003820575582,0.01427479112,70.05356447,0.0000193755675
ASSERT_THROWS,8,8,8,,,8,8,0.000001454344491,5682,46.57377049,13,20045.30443,141.581441,1,1139,0.004824113435,0.0003014739413,3317.036278,0.00241278389
,,,,,,,,,,,,,,,,,,,
,5500760,,,,,,,1,1177833,,,,,,,1,,,
