列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
Dorn DFT Assignments,1513307,177.71%,77.71%,12.07835737,0.2624671916%,95.09587021%,100.0%,105.8905146%,85500%,438395220357,0.0000,0.03548441454,,Dorn DFT Assignments,357739,138.7%,38.7%,4.222815915,0.8620689655%,86.837607%,98.7%,103.5294118%,10300%,21091995841,0.0000,-0.2310072017
Dorn Areas Strings/Numbers,1129234,130.00%,30.00%,7.098426308,0%,91.22351924%,100.0%,102.508997%,32487.5%,153458175247,0.0000,-0.09030304503,,Dorn Areas Strings/Numbers,306919,121.9%,21.9%,6.709610253,0%,99.637554%,100.0%,106.9255403%,32487.5%,12378118862,0.0000,0.2357568298
Dorn Areas Strings/Keywords,1406886,139.75%,39.75%,2.828618516,0%,90.88274363%,99.6%,108.5815784%,7942.5%,408653337702,0.0000,-0.05066981131,,Dorn Areas Strings/Keywords,349617,116.7%,16.7%,1.646630958,0%,97.081685%,102.2%,122.4541197%,4644.347265%,19833929736,0.0000,0.3119028154
Dorn Areas Strings/Identifiers,1406886,164.08%,64.08%,5.339487437,0%,88.41242002%,99.9%,106.4148559%,17662.12625%,460320711087,0.0000,-0.04544682441,,Dorn Areas Strings/Identifiers,349617,111.5%,11.5%,1.362496041,0%,96.681995%,102.2%,108.6206897%,3800.084641%,23357164135,0.0000,0.2149295442
Dorn Areas Strings/Comments,1332645,335.29%,235.29%,112.7475443,0%,86.97123519%,100.0%,105.3732223%,739153.9434%,297801416352,0.0000,-0.07056157744,,Dorn Areas Strings/Comments,333845,123.5%,23.5%,4.157203812,0%,94.410051%,100.0%,101.327335%,30947.98387%,15743890007,0.0000,-0.2402369838
Dorn Areas Strings,1406886,129.73%,29.73%,2.572027338,0%,89.01178758%,99.7%,104.5087113%,8274.438202%,435661014898,0.0000,-0.1156896443,,Dorn Areas Strings,349617,109.0%,9.0%,1.327521533,0%,96.659497%,100.7%,102.3334151%,3571.563172%,30322753784,0.1647,0.002715939436
Dorn Areas Operators/Strings,1381369,126.84%,26.84%,2.691689314,3.61303217%,95.90705509%,100.2%,108.642671%,21188.17701%,380582468822,0.0000,0.1126550167,,Dorn Areas Operators/Strings,347881,117.4%,17.4%,1.042641735,3.006386515%,92.172819%,100.2%,116.1996497%,2430.072993%,22174510875,0.0000,0.2116401864
Dorn Areas Operators/Numbers,1184111,105.91%,5.91%,0.5010350394,5.286458333%,95.80092725%,100.0%,104.7619048%,1122.171946%,280333474162,0.0000,0.03767394381,,Dorn Areas Operators/Numbers,312317,108.8%,8.8%,0.9157637182,4.983970934%,98.141500%,100.0%,102.050146%,2776.547559%,19658759891,0.0000,0.09077401465
Dorn Areas Operators/Literals,406827,110.78%,10.78%,0.4264948264,5.603362017%,99.83143975%,100.2%,105.7291667%,675.462963%,19668804077,0.0000,0.3687002262,,Dorn Areas Operators/Literals,133906,105.7%,5.7%,0.09290903088,17.24137931%,100.215208%,105.7%,108.29736%,360.7142857%,482191004,0.0000,0.8730586659
Dorn Areas Operators/Keywords,1513244,102.50%,2.50%,0.2331131666,18.67849224%,95.47281181%,100.0%,104.572413%,476.961177%,516561110565,0.0000,0.007414501153,,Dorn Areas Operators/Keywords,357739,104.1%,4.1%,0.1315761455,25.55974424%,98.717993%,102.2%,112.8032714%,260.3864734%,17313583700,0.0000,0.427251593
